value,location_id,date,province_id,autonomous_region_id,_id
14602,39075,2015-12,39,6,39075/2015-12-01
15160,39075,2016-01,39,6,39075/2016-01-01
15156,39075,2016-02,39,6,39075/2016-02-01
14530,39075,2016-03,39,6,39075/2016-03-01
14194,39075,2016-04,39,6,39075/2016-04-01
13850,39075,2016-05,39,6,39075/2016-05-01
13153,39075,2016-06,39,6,39075/2016-06-01
12601,39075,2016-07,39,6,39075/2016-07-01
12655,39075,2016-08,39,6,39075/2016-08-01
13081,39075,2016-09,39,6,39075/2016-09-01
13385,39075,2016-10,39,6,39075/2016-10-01
