value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
641,39075,2010-08,39,6,<25,H,39075/2010-08-01/<25/H
2465,39075,2010-08,39,6,>=45,M,39075/2010-08-01/>=45/M
571,39075,2010-09,39,6,25-44,H,39075/2010-09-01/25-44/H
2376,39075,2010-09,39,6,25-44,M,39075/2010-09-01/25-44/M
2533,39075,2010-09,39,6,>=45,M,39075/2010-09-01/>=45/M
3574,39075,2010-09,39,6,>=45,H,39075/2010-09-01/>=45/H
695,39075,2010-09,39,6,<25,H,39075/2010-09-01/<25/H
3265,39075,2010-09,39,6,<25,M,39075/2010-09-01/<25/M
620,39075,2010-10,39,6,25-44,H,39075/2010-10-01/25-44/H
3352,39075,2010-10,39,6,<25,M,39075/2010-10-01/<25/M
746,39075,2010-10,39,6,<25,H,39075/2010-10-01/<25/H
3691,39075,2010-10,39,6,>=45,H,39075/2010-10-01/>=45/H
2438,39075,2010-10,39,6,25-44,M,39075/2010-10-01/25-44/M
2590,39075,2010-10,39,6,>=45,M,39075/2010-10-01/>=45/M
612,39075,2010-11,39,6,25-44,H,39075/2010-11-01/25-44/H
3727,39075,2010-11,39,6,>=45,H,39075/2010-11-01/>=45/H
2638,39075,2010-11,39,6,>=45,M,39075/2010-11-01/>=45/M
728,39075,2010-11,39,6,<25,H,39075/2010-11-01/<25/H
2464,39075,2010-11,39,6,25-44,M,39075/2010-11-01/25-44/M
3335,39075,2010-11,39,6,<25,M,39075/2010-11-01/<25/M
3306,39075,2010-12,39,6,<25,M,39075/2010-12-01/<25/M
2534,39075,2010-12,39,6,25-44,M,39075/2010-12-01/25-44/M
2635,39075,2010-12,39,6,>=45,M,39075/2010-12-01/>=45/M
683,39075,2010-12,39,6,<25,H,39075/2010-12-01/<25/H
550,39075,2010-12,39,6,25-44,H,39075/2010-12-01/25-44/H
3783,39075,2010-12,39,6,>=45,H,39075/2010-12-01/>=45/H
682,39075,2011-01,39,6,<25,H,39075/2011-01-01/<25/H
3938,39075,2011-01,39,6,>=45,H,39075/2011-01-01/>=45/H
3582,39075,2011-01,39,6,<25,M,39075/2011-01-01/<25/M
580,39075,2011-01,39,6,25-44,H,39075/2011-01-01/25-44/H
2558,39075,2011-01,39,6,25-44,M,39075/2011-01-01/25-44/M
2718,39075,2011-01,39,6,>=45,M,39075/2011-01-01/>=45/M
710,39075,2011-02,39,6,<25,H,39075/2011-02-01/<25/H
4002,39075,2011-02,39,6,>=45,H,39075/2011-02-01/>=45/H
3715,39075,2011-02,39,6,<25,M,39075/2011-02-01/<25/M
2638,39075,2011-02,39,6,25-44,M,39075/2011-02-01/25-44/M
610,39075,2011-02,39,6,25-44,H,39075/2011-02-01/25-44/H
2815,39075,2011-02,39,6,>=45,M,39075/2011-02-01/>=45/M
673,39075,2011-03,39,6,25-44,H,39075/2011-03-01/25-44/H
2860,39075,2011-03,39,6,>=45,M,39075/2011-03-01/>=45/M
4105,39075,2011-03,39,6,>=45,H,39075/2011-03-01/>=45/H
739,39075,2011-03,39,6,<25,H,39075/2011-03-01/<25/H
3684,39075,2011-03,39,6,<25,M,39075/2011-03-01/<25/M
2702,39075,2011-03,39,6,25-44,M,39075/2011-03-01/25-44/M
4016,39075,2011-04,39,6,>=45,H,39075/2011-04-01/>=45/H
2838,39075,2011-04,39,6,>=45,M,39075/2011-04-01/>=45/M
2732,39075,2011-04,39,6,25-44,M,39075/2011-04-01/25-44/M
660,39075,2011-04,39,6,25-44,H,39075/2011-04-01/25-44/H
3619,39075,2011-04,39,6,<25,M,39075/2011-04-01/<25/M
720,39075,2011-04,39,6,<25,H,39075/2011-04-01/<25/H
609,39075,2011-05,39,6,25-44,H,39075/2011-05-01/25-44/H
680,39075,2011-05,39,6,<25,H,39075/2011-05-01/<25/H
3872,39075,2011-05,39,6,>=45,H,39075/2011-05-01/>=45/H
3475,39075,2011-05,39,6,<25,M,39075/2011-05-01/<25/M
2804,39075,2011-05,39,6,>=45,M,39075/2011-05-01/>=45/M
2660,39075,2011-05,39,6,25-44,M,39075/2011-05-01/25-44/M
3347,39075,2011-06,39,6,<25,M,39075/2011-06-01/<25/M
2621,39075,2011-06,39,6,25-44,M,39075/2011-06-01/25-44/M
676,39075,2011-06,39,6,<25,H,39075/2011-06-01/<25/H
549,39075,2011-06,39,6,25-44,H,39075/2011-06-01/25-44/H
3789,39075,2011-06,39,6,>=45,H,39075/2011-06-01/>=45/H
2752,39075,2011-06,39,6,>=45,M,39075/2011-06-01/>=45/M
638,39075,2011-07,39,6,<25,H,39075/2011-07-01/<25/H
3568,39075,2011-07,39,6,>=45,H,39075/2011-07-01/>=45/H
3223,39075,2011-07,39,6,<25,M,39075/2011-07-01/<25/M
502,39075,2011-07,39,6,25-44,H,39075/2011-07-01/25-44/H
2603,39075,2011-07,39,6,25-44,M,39075/2011-07-01/25-44/M
2715,39075,2011-07,39,6,>=45,M,39075/2011-07-01/>=45/M
2734,39075,2011-08,39,6,>=45,M,39075/2011-08-01/>=45/M
618,39075,2011-08,39,6,<25,H,39075/2011-08-01/<25/H
531,39075,2011-08,39,6,25-44,H,39075/2011-08-01/25-44/H
3369,39075,2011-08,39,6,<25,M,39075/2011-08-01/<25/M
3650,39075,2011-08,39,6,>=45,H,39075/2011-08-01/>=45/H
2689,39075,2011-08,39,6,25-44,M,39075/2011-08-01/25-44/M
3821,39075,2011-09,39,6,>=45,H,39075/2011-09-01/>=45/H
684,39075,2011-09,39,6,<25,H,39075/2011-09-01/<25/H
2723,39075,2011-09,39,6,25-44,M,39075/2011-09-01/25-44/M
2785,39075,2011-09,39,6,>=45,M,39075/2011-09-01/>=45/M
570,39075,2011-09,39,6,25-44,H,39075/2011-09-01/25-44/H
3472,39075,2011-09,39,6,<25,M,39075/2011-09-01/<25/M
2874,39075,2011-10,39,6,>=45,M,39075/2011-10-01/>=45/M
638,39075,2011-10,39,6,25-44,H,39075/2011-10-01/25-44/H
3973,39075,2011-10,39,6,>=45,H,39075/2011-10-01/>=45/H
3596,39075,2011-10,39,6,<25,M,39075/2011-10-01/<25/M
704,39075,2011-10,39,6,<25,H,39075/2011-10-01/<25/H
2770,39075,2011-10,39,6,25-44,M,39075/2011-10-01/25-44/M
641,39075,2011-11,39,6,25-44,H,39075/2011-11-01/25-44/H
2762,39075,2011-11,39,6,25-44,M,39075/2011-11-01/25-44/M
2922,39075,2011-11,39,6,>=45,M,39075/2011-11-01/>=45/M
706,39075,2011-11,39,6,<25,H,39075/2011-11-01/<25/H
4083,39075,2011-11,39,6,>=45,H,39075/2011-11-01/>=45/H
3567,39075,2011-11,39,6,<25,M,39075/2011-11-01/<25/M
4090,39075,2011-12,39,6,>=45,H,39075/2011-12-01/>=45/H
3546,39075,2011-12,39,6,<25,M,39075/2011-12-01/<25/M
655,39075,2011-12,39,6,<25,H,39075/2011-12-01/<25/H
2879,39075,2011-12,39,6,25-44,M,39075/2011-12-01/25-44/M
583,39075,2011-12,39,6,25-44,H,39075/2011-12-01/25-44/H
2933,39075,2011-12,39,6,>=45,M,39075/2011-12-01/>=45/M
621,39075,2012-01,39,6,25-44,H,39075/2012-01-01/25-44/H
3849,39075,2012-01,39,6,<25,M,39075/2012-01-01/<25/M
2980,39075,2012-01,39,6,25-44,M,39075/2012-01-01/25-44/M
3050,39075,2012-01,39,6,>=45,M,39075/2012-01-01/>=45/M
721,39075,2012-01,39,6,<25,H,39075/2012-01-01/<25/H
4306,39075,2012-01,39,6,>=45,H,39075/2012-01-01/>=45/H
4460,39075,2012-02,39,6,>=45,H,39075/2012-02-01/>=45/H
751,39075,2012-02,39,6,<25,H,39075/2012-02-01/<25/H
3978,39075,2012-02,39,6,<25,M,39075/2012-02-01/<25/M
674,39075,2012-02,39,6,25-44,H,39075/2012-02-01/25-44/H
3053,39075,2012-02,39,6,25-44,M,39075/2012-02-01/25-44/M
3119,39075,2012-02,39,6,>=45,M,39075/2012-02-01/>=45/M
704,39075,2012-03,39,6,25-44,H,39075/2012-03-01/25-44/H
4020,39075,2012-03,39,6,<25,M,39075/2012-03-01/<25/M
3098,39075,2012-03,39,6,25-44,M,39075/2012-03-01/25-44/M
3169,39075,2012-03,39,6,>=45,M,39075/2012-03-01/>=45/M
744,39075,2012-03,39,6,<25,H,39075/2012-03-01/<25/H
4489,39075,2012-03,39,6,>=45,H,39075/2012-03-01/>=45/H
3161,39075,2012-04,39,6,>=45,M,39075/2012-04-01/>=45/M
3985,39075,2012-04,39,6,<25,M,39075/2012-04-01/<25/M
725,39075,2012-04,39,6,<25,H,39075/2012-04-01/<25/H
3177,39075,2012-04,39,6,25-44,M,39075/2012-04-01/25-44/M
684,39075,2012-04,39,6,25-44,H,39075/2012-04-01/25-44/H
4443,39075,2012-04,39,6,>=45,H,39075/2012-04-01/>=45/H
4363,39075,2012-05,39,6,>=45,H,39075/2012-05-01/>=45/H
3142,39075,2012-05,39,6,>=45,M,39075/2012-05-01/>=45/M
3186,39075,2012-05,39,6,25-44,M,39075/2012-05-01/25-44/M
686,39075,2012-05,39,6,<25,H,39075/2012-05-01/<25/H
655,39075,2012-05,39,6,25-44,H,39075/2012-05-01/25-44/H
3956,39075,2012-05,39,6,<25,M,39075/2012-05-01/<25/M
611,39075,2012-06,39,6,<25,H,39075/2012-06-01/<25/H
549,39075,2012-06,39,6,25-44,H,39075/2012-06-01/25-44/H
3795,39075,2012-06,39,6,<25,M,39075/2012-06-01/<25/M
3080,39075,2012-06,39,6,>=45,M,39075/2012-06-01/>=45/M
4305,39075,2012-06,39,6,>=45,H,39075/2012-06-01/>=45/H
3196,39075,2012-06,39,6,25-44,M,39075/2012-06-01/25-44/M
3605,39075,2012-07,39,6,<25,M,39075/2012-07-01/<25/M
4133,39075,2012-07,39,6,>=45,H,39075/2012-07-01/>=45/H
3174,39075,2012-07,39,6,25-44,M,39075/2012-07-01/25-44/M
573,39075,2012-07,39,6,<25,H,39075/2012-07-01/<25/H
509,39075,2012-07,39,6,25-44,H,39075/2012-07-01/25-44/H
3000,39075,2012-07,39,6,>=45,M,39075/2012-07-01/>=45/M
570,39075,2012-08,39,6,<25,H,39075/2012-08-01/<25/H
518,39075,2012-08,39,6,25-44,H,39075/2012-08-01/25-44/H
4249,39075,2012-08,39,6,>=45,H,39075/2012-08-01/>=45/H
3671,39075,2012-08,39,6,<25,M,39075/2012-08-01/<25/M
3052,39075,2012-08,39,6,>=45,M,39075/2012-08-01/>=45/M
3200,39075,2012-08,39,6,25-44,M,39075/2012-08-01/25-44/M
611,39075,2012-09,39,6,<25,H,39075/2012-09-01/<25/H
580,39075,2012-09,39,6,25-44,H,39075/2012-09-01/25-44/H
3814,39075,2012-09,39,6,<25,M,39075/2012-09-01/<25/M
3105,39075,2012-09,39,6,>=45,M,39075/2012-09-01/>=45/M
3241,39075,2012-09,39,6,25-44,M,39075/2012-09-01/25-44/M
4332,39075,2012-09,39,6,>=45,H,39075/2012-09-01/>=45/H
3232,39075,2012-10,39,6,>=45,M,39075/2012-10-01/>=45/M
664,39075,2012-10,39,6,25-44,H,39075/2012-10-01/25-44/H
4487,39075,2012-10,39,6,>=45,H,39075/2012-10-01/>=45/H
3995,39075,2012-10,39,6,<25,M,39075/2012-10-01/<25/M
3338,39075,2012-10,39,6,25-44,M,39075/2012-10-01/25-44/M
687,39075,2012-10,39,6,<25,H,39075/2012-10-01/<25/H
4038,39075,2012-11,39,6,<25,M,39075/2012-11-01/<25/M
658,39075,2012-11,39,6,25-44,H,39075/2012-11-01/25-44/H
4548,39075,2012-11,39,6,>=45,H,39075/2012-11-01/>=45/H
3409,39075,2012-11,39,6,25-44,M,39075/2012-11-01/25-44/M
688,39075,2012-11,39,6,<25,H,39075/2012-11-01/<25/H
3364,39075,2012-11,39,6,>=45,M,39075/2012-11-01/>=45/M
618,39075,2012-12,39,6,25-44,H,39075/2012-12-01/25-44/H
638,39075,2012-12,39,6,<25,H,39075/2012-12-01/<25/H
3937,39075,2012-12,39,6,<25,M,39075/2012-12-01/<25/M
3474,39075,2012-12,39,6,25-44,M,39075/2012-12-01/25-44/M
3368,39075,2012-12,39,6,>=45,M,39075/2012-12-01/>=45/M
4477,39075,2012-12,39,6,>=45,H,39075/2012-12-01/>=45/H
4650,39075,2013-01,39,6,>=45,H,39075/2013-01-01/>=45/H
3543,39075,2013-01,39,6,25-44,M,39075/2013-01-01/25-44/M
4205,39075,2013-01,39,6,<25,M,39075/2013-01-01/<25/M
3498,39075,2013-01,39,6,>=45,M,39075/2013-01-01/>=45/M
636,39075,2013-01,39,6,<25,H,39075/2013-01-01/<25/H
615,39075,2013-01,39,6,25-44,H,39075/2013-01-01/25-44/H
663,39075,2013-02,39,6,<25,H,39075/2013-02-01/<25/H
3569,39075,2013-02,39,6,25-44,M,39075/2013-02-01/25-44/M
4274,39075,2013-02,39,6,<25,M,39075/2013-02-01/<25/M
657,39075,2013-02,39,6,25-44,H,39075/2013-02-01/25-44/H
4635,39075,2013-02,39,6,>=45,H,39075/2013-02-01/>=45/H
3534,39075,2013-02,39,6,>=45,M,39075/2013-02-01/>=45/M
3506,39075,2013-03,39,6,>=45,M,39075/2013-03-01/>=45/M
4670,39075,2013-03,39,6,>=45,H,39075/2013-03-01/>=45/H
654,39075,2013-03,39,6,<25,H,39075/2013-03-01/<25/H
647,39075,2013-03,39,6,25-44,H,39075/2013-03-01/25-44/H
4262,39075,2013-03,39,6,<25,M,39075/2013-03-01/<25/M
3583,39075,2013-03,39,6,25-44,M,39075/2013-03-01/25-44/M
650,39075,2013-04,39,6,<25,H,39075/2013-04-01/<25/H
667,39075,2013-04,39,6,25-44,H,39075/2013-04-01/25-44/H
4250,39075,2013-04,39,6,<25,M,39075/2013-04-01/<25/M
3506,39075,2013-04,39,6,>=45,M,39075/2013-04-01/>=45/M
4661,39075,2013-04,39,6,>=45,H,39075/2013-04-01/>=45/H
3583,39075,2013-04,39,6,25-44,M,39075/2013-04-01/25-44/M
3582,39075,2013-05,39,6,25-44,M,39075/2013-05-01/25-44/M
616,39075,2013-05,39,6,<25,H,39075/2013-05-01/<25/H
4187,39075,2013-05,39,6,<25,M,39075/2013-05-01/<25/M
599,39075,2013-05,39,6,25-44,H,39075/2013-05-01/25-44/H
4610,39075,2013-05,39,6,>=45,H,39075/2013-05-01/>=45/H
3501,39075,2013-05,39,6,>=45,M,39075/2013-05-01/>=45/M
3605,39075,2013-06,39,6,25-44,M,39075/2013-06-01/25-44/M
503,39075,2013-06,39,6,25-44,H,39075/2013-06-01/25-44/H
3432,39075,2013-06,39,6,>=45,M,39075/2013-06-01/>=45/M
4391,39075,2013-06,39,6,>=45,H,39075/2013-06-01/>=45/H
564,39075,2013-06,39,6,<25,H,39075/2013-06-01/<25/H
4078,39075,2013-06,39,6,<25,M,39075/2013-06-01/<25/M
3505,39075,2013-07,39,6,25-44,M,39075/2013-07-01/25-44/M
3631,39075,2013-07,39,6,<25,M,39075/2013-07-01/<25/M
3924,39075,2013-07,39,6,>=45,H,39075/2013-07-01/>=45/H
516,39075,2013-07,39,6,<25,H,39075/2013-07-01/<25/H
464,39075,2013-07,39,6,25-44,H,39075/2013-07-01/25-44/H
3358,39075,2013-07,39,6,>=45,M,39075/2013-07-01/>=45/M
497,39075,2013-08,39,6,<25,H,39075/2013-08-01/<25/H
503,39075,2013-08,39,6,25-44,H,39075/2013-08-01/25-44/H
3346,39075,2013-08,39,6,>=45,M,39075/2013-08-01/>=45/M
3627,39075,2013-08,39,6,<25,M,39075/2013-08-01/<25/M
3949,39075,2013-08,39,6,>=45,H,39075/2013-08-01/>=45/H
3553,39075,2013-08,39,6,25-44,M,39075/2013-08-01/25-44/M
3553,39075,2013-09,39,6,25-44,M,39075/2013-09-01/25-44/M
550,39075,2013-09,39,6,25-44,H,39075/2013-09-01/25-44/H
3734,39075,2013-09,39,6,<25,M,39075/2013-09-01/<25/M
3440,39075,2013-09,39,6,>=45,M,39075/2013-09-01/>=45/M
573,39075,2013-09,39,6,<25,H,39075/2013-09-01/<25/H
4046,39075,2013-09,39,6,>=45,H,39075/2013-09-01/>=45/H
597,39075,2013-10,39,6,<25,H,39075/2013-10-01/<25/H
4208,39075,2013-10,39,6,>=45,H,39075/2013-10-01/>=45/H
3853,39075,2013-10,39,6,<25,M,39075/2013-10-01/<25/M
3629,39075,2013-10,39,6,25-44,M,39075/2013-10-01/25-44/M
572,39075,2013-10,39,6,25-44,H,39075/2013-10-01/25-44/H
3558,39075,2013-10,39,6,>=45,M,39075/2013-10-01/>=45/M
4237,39075,2013-11,39,6,>=45,H,39075/2013-11-01/>=45/H
561,39075,2013-11,39,6,25-44,H,39075/2013-11-01/25-44/H
3843,39075,2013-11,39,6,<25,M,39075/2013-11-01/<25/M
3602,39075,2013-11,39,6,>=45,M,39075/2013-11-01/>=45/M
3667,39075,2013-11,39,6,25-44,M,39075/2013-11-01/25-44/M
599,39075,2013-11,39,6,<25,H,39075/2013-11-01/<25/H
4295,39075,2013-12,39,6,>=45,H,39075/2013-12-01/>=45/H
3671,39075,2013-12,39,6,25-44,M,39075/2013-12-01/25-44/M
3583,39075,2013-12,39,6,>=45,M,39075/2013-12-01/>=45/M
3829,39075,2013-12,39,6,<25,M,39075/2013-12-01/<25/M
567,39075,2013-12,39,6,<25,H,39075/2013-12-01/<25/H
566,39075,2013-12,39,6,25-44,H,39075/2013-12-01/25-44/H
4350,39075,2014-01,39,6,>=45,H,39075/2014-01-01/>=45/H
566,39075,2014-01,39,6,<25,H,39075/2014-01-01/<25/H
3962,39075,2014-01,39,6,<25,M,39075/2014-01-01/<25/M
3678,39075,2014-01,39,6,>=45,M,39075/2014-01-01/>=45/M
3734,39075,2014-01,39,6,25-44,M,39075/2014-01-01/25-44/M
569,39075,2014-01,39,6,25-44,H,39075/2014-01-01/25-44/H
3627,39075,2014-02,39,6,>=45,M,39075/2014-02-01/>=45/M
3854,39075,2014-02,39,6,<25,M,39075/2014-02-01/<25/M
3658,39075,2014-02,39,6,25-44,M,39075/2014-02-01/25-44/M
556,39075,2014-02,39,6,25-44,H,39075/2014-02-01/25-44/H
4184,39075,2014-02,39,6,>=45,H,39075/2014-02-01/>=45/H
551,39075,2014-02,39,6,<25,H,39075/2014-02-01/<25/H
3604,39075,2014-03,39,6,25-44,M,39075/2014-03-01/25-44/M
3774,39075,2014-03,39,6,<25,M,39075/2014-03-01/<25/M
4087,39075,2014-03,39,6,>=45,H,39075/2014-03-01/>=45/H
560,39075,2014-03,39,6,<25,H,39075/2014-03-01/<25/H
3596,39075,2014-03,39,6,>=45,M,39075/2014-03-01/>=45/M
544,39075,2014-03,39,6,25-44,H,39075/2014-03-01/25-44/H
3915,39075,2014-04,39,6,>=45,H,39075/2014-04-01/>=45/H
538,39075,2014-04,39,6,<25,H,39075/2014-04-01/<25/H
514,39075,2014-04,39,6,25-44,H,39075/2014-04-01/25-44/H
3622,39075,2014-04,39,6,25-44,M,39075/2014-04-01/25-44/M
3679,39075,2014-04,39,6,<25,M,39075/2014-04-01/<25/M
3534,39075,2014-04,39,6,>=45,M,39075/2014-04-01/>=45/M
3771,39075,2014-05,39,6,>=45,H,39075/2014-05-01/>=45/H
3615,39075,2014-05,39,6,<25,M,39075/2014-05-01/<25/M
544,39075,2014-05,39,6,<25,H,39075/2014-05-01/<25/H
3552,39075,2014-05,39,6,25-44,M,39075/2014-05-01/25-44/M
3515,39075,2014-05,39,6,>=45,M,39075/2014-05-01/>=45/M
521,39075,2014-05,39,6,25-44,H,39075/2014-05-01/25-44/H
3474,39075,2014-06,39,6,25-44,M,39075/2014-06-01/25-44/M
496,39075,2014-06,39,6,<25,H,39075/2014-06-01/<25/H
3513,39075,2014-06,39,6,>=45,H,39075/2014-06-01/>=45/H
3478,39075,2014-06,39,6,<25,M,39075/2014-06-01/<25/M
449,39075,2014-06,39,6,25-44,H,39075/2014-06-01/25-44/H
3454,39075,2014-06,39,6,>=45,M,39075/2014-06-01/>=45/M
501,39075,2014-07,39,6,<25,H,39075/2014-07-01/<25/H
3334,39075,2014-07,39,6,>=45,M,39075/2014-07-01/>=45/M
448,39075,2014-07,39,6,25-44,H,39075/2014-07-01/25-44/H
3410,39075,2014-07,39,6,>=45,H,39075/2014-07-01/>=45/H
3285,39075,2014-07,39,6,25-44,M,39075/2014-07-01/25-44/M
3409,39075,2014-07,39,6,<25,M,39075/2014-07-01/<25/M
3413,39075,2014-08,39,6,>=45,H,39075/2014-08-01/>=45/H
3314,39075,2014-08,39,6,>=45,M,39075/2014-08-01/>=45/M
3372,39075,2014-08,39,6,<25,M,39075/2014-08-01/<25/M
490,39075,2014-08,39,6,<25,H,39075/2014-08-01/<25/H
456,39075,2014-08,39,6,25-44,H,39075/2014-08-01/25-44/H
3244,39075,2014-08,39,6,25-44,M,39075/2014-08-01/25-44/M
541,39075,2014-09,39,6,<25,H,39075/2014-09-01/<25/H
3272,39075,2014-09,39,6,25-44,M,39075/2014-09-01/25-44/M
3377,39075,2014-09,39,6,>=45,M,39075/2014-09-01/>=45/M
508,39075,2014-09,39,6,25-44,H,39075/2014-09-01/25-44/H
3420,39075,2014-09,39,6,>=45,H,39075/2014-09-01/>=45/H
3480,39075,2014-09,39,6,<25,M,39075/2014-09-01/<25/M
581,39075,2014-10,39,6,<25,H,39075/2014-10-01/<25/H
3569,39075,2014-10,39,6,>=45,H,39075/2014-10-01/>=45/H
3328,39075,2014-10,39,6,25-44,M,39075/2014-10-01/25-44/M
3606,39075,2014-10,39,6,<25,M,39075/2014-10-01/<25/M
3463,39075,2014-10,39,6,>=45,M,39075/2014-10-01/>=45/M
549,39075,2014-10,39,6,25-44,H,39075/2014-10-01/25-44/H
3514,39075,2014-11,39,6,>=45,M,39075/2014-11-01/>=45/M
3384,39075,2014-11,39,6,25-44,M,39075/2014-11-01/25-44/M
567,39075,2014-11,39,6,25-44,H,39075/2014-11-01/25-44/H
3646,39075,2014-11,39,6,>=45,H,39075/2014-11-01/>=45/H
613,39075,2014-11,39,6,<25,H,39075/2014-11-01/<25/H
3682,39075,2014-11,39,6,<25,M,39075/2014-11-01/<25/M
542,39075,2014-12,39,6,<25,H,39075/2014-12-01/<25/H
3484,39075,2014-12,39,6,<25,M,39075/2014-12-01/<25/M
3406,39075,2014-12,39,6,25-44,M,39075/2014-12-01/25-44/M
3576,39075,2014-12,39,6,>=45,H,39075/2014-12-01/>=45/H
489,39075,2014-12,39,6,25-44,H,39075/2014-12-01/25-44/H
3436,39075,2014-12,39,6,>=45,M,39075/2014-12-01/>=45/M
3512,39075,2015-01,39,6,>=45,M,39075/2015-01-01/>=45/M
562,39075,2015-01,39,6,<25,H,39075/2015-01-01/<25/H
495,39075,2015-01,39,6,25-44,H,39075/2015-01-01/25-44/H
3575,39075,2015-01,39,6,<25,M,39075/2015-01-01/<25/M
3436,39075,2015-01,39,6,25-44,M,39075/2015-01-01/25-44/M
3569,39075,2015-01,39,6,>=45,H,39075/2015-01-01/>=45/H
546,39075,2015-02,39,6,<25,H,39075/2015-02-01/<25/H
3444,39075,2015-02,39,6,<25,M,39075/2015-02-01/<25/M
3494,39075,2015-02,39,6,>=45,M,39075/2015-02-01/>=45/M
465,39075,2015-02,39,6,25-44,H,39075/2015-02-01/25-44/H
3478,39075,2015-02,39,6,>=45,H,39075/2015-02-01/>=45/H
3365,39075,2015-02,39,6,25-44,M,39075/2015-02-01/25-44/M
481,39075,2015-03,39,6,25-44,H,39075/2015-03-01/25-44/H
3372,39075,2015-03,39,6,>=45,H,39075/2015-03-01/>=45/H
3352,39075,2015-03,39,6,25-44,M,39075/2015-03-01/25-44/M
552,39075,2015-03,39,6,<25,H,39075/2015-03-01/<25/H
3397,39075,2015-03,39,6,<25,M,39075/2015-03-01/<25/M
3516,39075,2015-03,39,6,>=45,M,39075/2015-03-01/>=45/M
3248,39075,2015-04,39,6,<25,M,39075/2015-04-01/<25/M
3271,39075,2015-04,39,6,25-44,M,39075/2015-04-01/25-44/M
513,39075,2015-04,39,6,<25,H,39075/2015-04-01/<25/H
471,39075,2015-04,39,6,25-44,H,39075/2015-04-01/25-44/H
3223,39075,2015-04,39,6,>=45,H,39075/2015-04-01/>=45/H
3470,39075,2015-04,39,6,>=45,M,39075/2015-04-01/>=45/M
498,39075,2015-05,39,6,<25,H,39075/2015-05-01/<25/H
453,39075,2015-05,39,6,25-44,H,39075/2015-05-01/25-44/H
3103,39075,2015-05,39,6,>=45,H,39075/2015-05-01/>=45/H
3454,39075,2015-05,39,6,>=45,M,39075/2015-05-01/>=45/M
3194,39075,2015-05,39,6,<25,M,39075/2015-05-01/<25/M
3212,39075,2015-05,39,6,25-44,M,39075/2015-05-01/25-44/M
3120,39075,2015-06,39,6,<25,M,39075/2015-06-01/<25/M
3405,39075,2015-06,39,6,>=45,M,39075/2015-06-01/>=45/M
3186,39075,2015-06,39,6,25-44,M,39075/2015-06-01/25-44/M
432,39075,2015-06,39,6,25-44,H,39075/2015-06-01/25-44/H
3029,39075,2015-06,39,6,>=45,H,39075/2015-06-01/>=45/H
466,39075,2015-06,39,6,<25,H,39075/2015-06-01/<25/H
2923,39075,2015-07,39,6,>=45,H,39075/2015-07-01/>=45/H
431,39075,2015-07,39,6,<25,H,39075/2015-07-01/<25/H
392,39075,2015-07,39,6,25-44,H,39075/2015-07-01/25-44/H
3093,39075,2015-07,39,6,<25,M,39075/2015-07-01/<25/M
3403,39075,2015-07,39,6,>=45,M,39075/2015-07-01/>=45/M
3235,39075,2015-07,39,6,25-44,M,39075/2015-07-01/25-44/M
3190,39075,2015-08,39,6,<25,M,39075/2015-08-01/<25/M
3440,39075,2015-08,39,6,>=45,M,39075/2015-08-01/>=45/M
469,39075,2015-08,39,6,<25,H,39075/2015-08-01/<25/H
3276,39075,2015-08,39,6,25-44,M,39075/2015-08-01/25-44/M
412,39075,2015-08,39,6,25-44,H,39075/2015-08-01/25-44/H
2933,39075,2015-08,39,6,>=45,H,39075/2015-08-01/>=45/H
3516,39075,2015-09,39,6,>=45,M,39075/2015-09-01/>=45/M
453,39075,2015-09,39,6,25-44,H,39075/2015-09-01/25-44/H
3306,39075,2015-09,39,6,25-44,M,39075/2015-09-01/25-44/M
500,39075,2015-09,39,6,<25,H,39075/2015-09-01/<25/H
3027,39075,2015-09,39,6,>=45,H,39075/2015-09-01/>=45/H
3253,39075,2015-09,39,6,<25,M,39075/2015-09-01/<25/M
3398,39075,2015-10,39,6,<25,M,39075/2015-10-01/<25/M
3633,39075,2015-10,39,6,>=45,M,39075/2015-10-01/>=45/M
3349,39075,2015-10,39,6,25-44,M,39075/2015-10-01/25-44/M
550,39075,2015-10,39,6,<25,H,39075/2015-10-01/<25/H
3142,39075,2015-10,39,6,>=45,H,39075/2015-10-01/>=45/H
474,39075,2015-10,39,6,25-44,H,39075/2015-10-01/25-44/H
3381,39075,2015-11,39,6,<25,M,39075/2015-11-01/<25/M
550,39075,2015-11,39,6,<25,H,39075/2015-11-01/<25/H
474,39075,2015-11,39,6,25-44,H,39075/2015-11-01/25-44/H
3637,39075,2015-11,39,6,>=45,M,39075/2015-11-01/>=45/M
3357,39075,2015-11,39,6,25-44,M,39075/2015-11-01/25-44/M
3223,39075,2015-11,39,6,>=45,H,39075/2015-11-01/>=45/H
3405,39075,2015-12,39,6,25-44,M,39075/2015-12-01/25-44/M
3617,39075,2015-12,39,6,>=45,M,39075/2015-12-01/>=45/M
3282,39075,2015-12,39,6,>=45,H,39075/2015-12-01/>=45/H
3330,39075,2015-12,39,6,<25,M,39075/2015-12-01/<25/M
514,39075,2015-12,39,6,<25,H,39075/2015-12-01/<25/H
454,39075,2015-12,39,6,25-44,H,39075/2015-12-01/25-44/H
507,39075,2016-01,39,6,<25,H,39075/2016-01-01/<25/H
3512,39075,2016-01,39,6,25-44,M,39075/2016-01-01/25-44/M
