value,location_id,date,province_id,autonomous_region_id,_id
83783,39075,2012-04,39,6,39075/2012-04-01
83895,39075,2012-05,39,6,39075/2012-05-01
85566,39075,2012-06,39,6,39075/2012-06-01
86115,39075,2012-07,39,6,39075/2012-07-01
83659,39075,2012-08,39,6,39075/2012-08-01
84711,39075,2012-09,39,6,39075/2012-09-01
83811,39075,2012-10,39,6,39075/2012-10-01
83539,39075,2012-11,39,6,39075/2012-11-01
83365,39075,2012-12,39,6,39075/2012-12-01
81955,39075,2013-01,39,6,39075/2013-01-01
81892,39075,2013-02,39,6,39075/2013-02-01
81866,39075,2013-03,39,6,39075/2013-03-01
81451,39075,2013-04,39,6,39075/2013-04-01
81439,39075,2013-05,39,6,39075/2013-05-01
82429,39075,2013-06,39,6,39075/2013-06-01
83439,39075,2013-07,39,6,39075/2013-07-01
83397,39075,2013-08,39,6,39075/2013-08-01
82283,39075,2013-09,39,6,39075/2013-09-01
81721,39075,2013-10,39,6,39075/2013-10-01
82944,39075,2013-11,39,6,39075/2013-11-01
82374,39075,2013-12,39,6,39075/2013-12-01
81026,39075,2014-01,39,6,39075/2014-01-01
81517,39075,2014-02,39,6,39075/2014-02-01
82499,39075,2014-03,39,6,39075/2014-03-01
82521,39075,2014-04,39,6,39075/2014-04-01
83598,39075,2014-05,39,6,39075/2014-05-01
83951,39075,2014-06,39,6,39075/2014-06-01
85244,39075,2014-07,39,6,39075/2014-07-01
85143,39075,2014-08,39,6,39075/2014-08-01
84281,39075,2014-09,39,6,39075/2014-09-01
84075,39075,2014-10,39,6,39075/2014-10-01
84769,39075,2014-11,39,6,39075/2014-11-01
84204,39075,2014-12,39,6,39075/2014-12-01
83951,39075,2015-01,39,6,39075/2015-01-01
84501,39075,2015-02,39,6,39075/2015-02-01
85089,39075,2015-03,39,6,39075/2015-03-01
84940,39075,2015-04,39,6,39075/2015-04-01
86036,39075,2015-05,39,6,39075/2015-05-01
85804,39075,2015-06,39,6,39075/2015-06-01
87423,39075,2015-07,39,6,39075/2015-07-01
84976,39075,2015-08,39,6,39075/2015-08-01
86274,39075,2015-09,39,6,39075/2015-09-01
86929,39075,2015-10,39,6,39075/2015-10-01
86966,39075,2015-11,39,6,39075/2015-11-01
86287,39075,2015-12,39,6,39075/2015-12-01
86044,39075,2016-01,39,6,39075/2016-01-01
85980,39075,2016-02,39,6,39075/2016-02-01
85593,39075,2016-03,39,6,39075/2016-03-01
86769,39075,2016-04,39,6,39075/2016-04-01
86224,39075,2016-05,39,6,39075/2016-05-01
87533,39075,2016-06,39,6,39075/2016-06-01
89780,39075,2016-07,39,6,39075/2016-07-01
86111,39075,2016-08,39,6,39075/2016-08-01
