value,location_id,date,province_id,autonomous_region_id,age_range,_id
614,39075,2007-09,39,6,<25,39075/2007-09-01/<25
3273,39075,2007-10,39,6,25-44,39075/2007-10-01/25-44
678,39075,2007-10,39,6,<25,39075/2007-10-01/<25
3048,39075,2007-10,39,6,>=45,39075/2007-10-01/>=45
709,39075,2007-11,39,6,<25,39075/2007-11-01/<25
3299,39075,2007-11,39,6,25-44,39075/2007-11-01/25-44
3121,39075,2007-11,39,6,>=45,39075/2007-11-01/>=45
3352,39075,2007-12,39,6,25-44,39075/2007-12-01/25-44
3160,39075,2007-12,39,6,>=45,39075/2007-12-01/>=45
699,39075,2007-12,39,6,<25,39075/2007-12-01/<25
3381,39075,2008-01,39,6,>=45,39075/2008-01-01/>=45
749,39075,2008-01,39,6,<25,39075/2008-01-01/<25
3791,39075,2008-01,39,6,25-44,39075/2008-01-01/25-44
3369,39075,2008-02,39,6,>=45,39075/2008-02-01/>=45
3874,39075,2008-02,39,6,25-44,39075/2008-02-01/25-44
752,39075,2008-02,39,6,<25,39075/2008-02-01/<25
3336,39075,2008-03,39,6,>=45,39075/2008-03-01/>=45
753,39075,2008-03,39,6,<25,39075/2008-03-01/<25
3766,39075,2008-03,39,6,25-44,39075/2008-03-01/25-44
3336,39075,2008-04,39,6,>=45,39075/2008-04-01/>=45
753,39075,2008-04,39,6,<25,39075/2008-04-01/<25
3766,39075,2008-04,39,6,25-44,39075/2008-04-01/25-44
3756,39075,2008-05,39,6,25-44,39075/2008-05-01/25-44
756,39075,2008-05,39,6,<25,39075/2008-05-01/<25
3320,39075,2008-05,39,6,>=45,39075/2008-05-01/>=45
3241,39075,2008-06,39,6,>=45,39075/2008-06-01/>=45
719,39075,2008-06,39,6,<25,39075/2008-06-01/<25
3644,39075,2008-06,39,6,25-44,39075/2008-06-01/25-44
713,39075,2008-07,39,6,<25,39075/2008-07-01/<25
3742,39075,2008-07,39,6,25-44,39075/2008-07-01/25-44
3268,39075,2008-07,39,6,>=45,39075/2008-07-01/>=45
730,39075,2008-08,39,6,<25,39075/2008-08-01/<25
3937,39075,2008-08,39,6,25-44,39075/2008-08-01/25-44
3279,39075,2008-08,39,6,>=45,39075/2008-08-01/>=45
3428,39075,2008-09,39,6,>=45,39075/2008-09-01/>=45
827,39075,2008-09,39,6,<25,39075/2008-09-01/<25
4187,39075,2008-09,39,6,25-44,39075/2008-09-01/25-44
3623,39075,2008-10,39,6,>=45,39075/2008-10-01/>=45
993,39075,2008-10,39,6,<25,39075/2008-10-01/<25
4751,39075,2008-10,39,6,25-44,39075/2008-10-01/25-44
1154,39075,2008-11,39,6,<25,39075/2008-11-01/<25
5322,39075,2008-11,39,6,25-44,39075/2008-11-01/25-44
3850,39075,2008-11,39,6,>=45,39075/2008-11-01/>=45
5549,39075,2008-12,39,6,25-44,39075/2008-12-01/25-44
4002,39075,2008-12,39,6,>=45,39075/2008-12-01/>=45
1070,39075,2008-12,39,6,<25,39075/2008-12-01/<25
6029,39075,2009-01,39,6,25-44,39075/2009-01-01/25-44
4186,39075,2009-01,39,6,>=45,39075/2009-01-01/>=45
1205,39075,2009-01,39,6,<25,39075/2009-01-01/<25
1251,39075,2009-02,39,6,<25,39075/2009-02-01/<25
6217,39075,2009-02,39,6,25-44,39075/2009-02-01/25-44
4270,39075,2009-02,39,6,>=45,39075/2009-02-01/>=45
4373,39075,2009-03,39,6,>=45,39075/2009-03-01/>=45
1363,39075,2009-03,39,6,<25,39075/2009-03-01/<25
6464,39075,2009-03,39,6,25-44,39075/2009-03-01/25-44
1360,39075,2009-04,39,6,<25,39075/2009-04-01/<25
6506,39075,2009-04,39,6,25-44,39075/2009-04-01/25-44
4451,39075,2009-04,39,6,>=45,39075/2009-04-01/>=45
4414,39075,2009-05,39,6,>=45,39075/2009-05-01/>=45
6356,39075,2009-05,39,6,25-44,39075/2009-05-01/25-44
1300,39075,2009-05,39,6,<25,39075/2009-05-01/<25
4321,39075,2009-06,39,6,>=45,39075/2009-06-01/>=45
1124,39075,2009-06,39,6,<25,39075/2009-06-01/<25
6030,39075,2009-06,39,6,25-44,39075/2009-06-01/25-44
1111,39075,2009-07,39,6,<25,39075/2009-07-01/<25
4252,39075,2009-07,39,6,>=45,39075/2009-07-01/>=45
5796,39075,2009-07,39,6,25-44,39075/2009-07-01/25-44
6004,39075,2009-08,39,6,25-44,39075/2009-08-01/25-44
1131,39075,2009-08,39,6,<25,39075/2009-08-01/<25
4298,39075,2009-08,39,6,>=45,39075/2009-08-01/>=45
1255,39075,2009-09,39,6,<25,39075/2009-09-01/<25
6339,39075,2009-09,39,6,25-44,39075/2009-09-01/25-44
4392,39075,2009-09,39,6,>=45,39075/2009-09-01/>=45
1337,39075,2009-10,39,6,<25,39075/2009-10-01/<25
6643,39075,2009-10,39,6,25-44,39075/2009-10-01/25-44
4528,39075,2009-10,39,6,>=45,39075/2009-10-01/>=45
1408,39075,2009-11,39,6,<25,39075/2009-11-01/<25
4704,39075,2009-11,39,6,>=45,39075/2009-11-01/>=45
6854,39075,2009-11,39,6,25-44,39075/2009-11-01/25-44
7107,39075,2009-12,39,6,25-44,39075/2009-12-01/25-44
4828,39075,2009-12,39,6,>=45,39075/2009-12-01/>=45
1401,39075,2009-12,39,6,<25,39075/2009-12-01/<25
1404,39075,2010-01,39,6,<25,39075/2010-01-01/<25
7389,39075,2010-01,39,6,25-44,39075/2010-01-01/25-44
4921,39075,2010-01,39,6,>=45,39075/2010-01-01/>=45
1510,39075,2010-02,39,6,<25,39075/2010-02-01/<25
7527,39075,2010-02,39,6,25-44,39075/2010-02-01/25-44
4971,39075,2010-02,39,6,>=45,39075/2010-02-01/>=45
1477,39075,2010-03,39,6,<25,39075/2010-03-01/<25
5030,39075,2010-03,39,6,>=45,39075/2010-03-01/>=45
7569,39075,2010-03,39,6,25-44,39075/2010-03-01/25-44
5045,39075,2010-04,39,6,>=45,39075/2010-04-01/>=45
1493,39075,2010-04,39,6,<25,39075/2010-04-01/<25
7573,39075,2010-04,39,6,25-44,39075/2010-04-01/25-44
1384,39075,2010-05,39,6,<25,39075/2010-05-01/<25
7340,39075,2010-05,39,6,25-44,39075/2010-05-01/25-44
4975,39075,2010-05,39,6,>=45,39075/2010-05-01/>=45
6910,39075,2010-06,39,6,25-44,39075/2010-06-01/25-44
1232,39075,2010-06,39,6,<25,39075/2010-06-01/<25
4854,39075,2010-06,39,6,>=45,39075/2010-06-01/>=45
1189,39075,2010-07,39,6,<25,39075/2010-07-01/<25
4739,39075,2010-07,39,6,>=45,39075/2010-07-01/>=45
6510,39075,2010-07,39,6,25-44,39075/2010-07-01/25-44
1177,39075,2010-08,39,6,<25,39075/2010-08-01/<25
6560,39075,2010-08,39,6,25-44,39075/2010-08-01/25-44
4787,39075,2010-08,39,6,>=45,39075/2010-08-01/>=45
6839,39075,2010-09,39,6,25-44,39075/2010-09-01/25-44
1266,39075,2010-09,39,6,<25,39075/2010-09-01/<25
4909,39075,2010-09,39,6,>=45,39075/2010-09-01/>=45
7043,39075,2010-10,39,6,25-44,39075/2010-10-01/25-44
5028,39075,2010-10,39,6,>=45,39075/2010-10-01/>=45
1366,39075,2010-10,39,6,<25,39075/2010-10-01/<25
5102,39075,2010-11,39,6,>=45,39075/2010-11-01/>=45
1340,39075,2010-11,39,6,<25,39075/2010-11-01/<25
7062,39075,2010-11,39,6,25-44,39075/2010-11-01/25-44
1233,39075,2010-12,39,6,<25,39075/2010-12-01/<25
7089,39075,2010-12,39,6,25-44,39075/2010-12-01/25-44
5169,39075,2010-12,39,6,>=45,39075/2010-12-01/>=45
1262,39075,2011-01,39,6,<25,39075/2011-01-01/<25
7520,39075,2011-01,39,6,25-44,39075/2011-01-01/25-44
5276,39075,2011-01,39,6,>=45,39075/2011-01-01/>=45
1320,39075,2011-02,39,6,<25,39075/2011-02-01/<25
7717,39075,2011-02,39,6,25-44,39075/2011-02-01/25-44
5453,39075,2011-02,39,6,>=45,39075/2011-02-01/>=45
1412,39075,2011-03,39,6,<25,39075/2011-03-01/<25
5562,39075,2011-03,39,6,>=45,39075/2011-03-01/>=45
7789,39075,2011-03,39,6,25-44,39075/2011-03-01/25-44
1380,39075,2011-04,39,6,<25,39075/2011-04-01/<25
7635,39075,2011-04,39,6,25-44,39075/2011-04-01/25-44
5570,39075,2011-04,39,6,>=45,39075/2011-04-01/>=45
5464,39075,2011-05,39,6,>=45,39075/2011-05-01/>=45
1289,39075,2011-05,39,6,<25,39075/2011-05-01/<25
7347,39075,2011-05,39,6,25-44,39075/2011-05-01/25-44
5373,39075,2011-06,39,6,>=45,39075/2011-06-01/>=45
7136,39075,2011-06,39,6,25-44,39075/2011-06-01/25-44
1225,39075,2011-06,39,6,<25,39075/2011-06-01/<25
1140,39075,2011-07,39,6,<25,39075/2011-07-01/<25
6791,39075,2011-07,39,6,25-44,39075/2011-07-01/25-44
5318,39075,2011-07,39,6,>=45,39075/2011-07-01/>=45
5423,39075,2011-08,39,6,>=45,39075/2011-08-01/>=45
1149,39075,2011-08,39,6,<25,39075/2011-08-01/<25
7019,39075,2011-08,39,6,25-44,39075/2011-08-01/25-44
1254,39075,2011-09,39,6,<25,39075/2011-09-01/<25
7293,39075,2011-09,39,6,25-44,39075/2011-09-01/25-44
5508,39075,2011-09,39,6,>=45,39075/2011-09-01/>=45
7569,39075,2011-10,39,6,25-44,39075/2011-10-01/25-44
5644,39075,2011-10,39,6,>=45,39075/2011-10-01/>=45
1342,39075,2011-10,39,6,<25,39075/2011-10-01/<25
1347,39075,2011-11,39,6,<25,39075/2011-11-01/<25
7650,39075,2011-11,39,6,25-44,39075/2011-11-01/25-44
5684,39075,2011-11,39,6,>=45,39075/2011-11-01/>=45
7636,39075,2011-12,39,6,25-44,39075/2011-12-01/25-44
1238,39075,2011-12,39,6,<25,39075/2011-12-01/<25
5812,39075,2011-12,39,6,>=45,39075/2011-12-01/>=45
6030,39075,2012-01,39,6,>=45,39075/2012-01-01/>=45
1342,39075,2012-01,39,6,<25,39075/2012-01-01/<25
8155,39075,2012-01,39,6,25-44,39075/2012-01-01/25-44
1425,39075,2012-02,39,6,<25,39075/2012-02-01/<25
8438,39075,2012-02,39,6,25-44,39075/2012-02-01/25-44
6172,39075,2012-02,39,6,>=45,39075/2012-02-01/>=45
8509,39075,2012-03,39,6,25-44,39075/2012-03-01/25-44
1448,39075,2012-03,39,6,<25,39075/2012-03-01/<25
