value,location_id,date,province_id,autonomous_region_id,_id
2499,39001,2014,39,6,39001/2014-01-01
1705,39005,2014,39,6,39005/2014-01-01
3795,39027,2014,39,6,39027/2014-01-01
32144,39020,2014,39,6,39020/2014-01-01
1345,39022,2014,39,6,39022/2014-01-01
8272,39023,2014,39,6,39023/2014-01-01
2121,39026,2014,39,6,39026/2014-01-01
648,39033,2014,39,6,39033/2014-01-01
650,39039,2014,39,6,39039/2014-01-01
4626,39044,2014,39,6,39044/2014-01-01
1612,39046,2014,39,6,39046/2014-01-01
326,39050,2014,39,6,39050/2014-01-01
988,39058,2014,39,6,39058/2014-01-01
1594,39064,2014,39,6,39064/2014-01-01
12500,39073,2014,39,6,39073/2014-01-01
504,39081,2014,39,6,39081/2014-01-01
8580,39085,2014,39,6,39085/2014-01-01
507,39007,2014,39,6,39007/2014-01-01
4080,39009,2014,39,6,39009/2014-01-01
668,39017,2014,39,6,39017/2014-01-01
2320,39024,2014,39,6,39024/2014-01-01
754,39029,2014,39,6,39029/2014-01-01
1524,39031,2014,39,6,39031/2014-01-01
1687,39032,2014,39,6,39032/2014-01-01
11800,39035,2014,39,6,39035/2014-01-01
7576,39042,2014,39,6,39042/2014-01-01
1912,39043,2014,39,6,39043/2014-01-01
236,39053,2014,39,6,39053/2014-01-01
4462,39061,2014,39,6,39061/2014-01-01
2215,39062,2014,39,6,39062/2014-01-01
1034,39066,2014,39,6,39066/2014-01-01
784,39068,2014,39,6,39068/2014-01-01
2394,39069,2014,39,6,39069/2014-01-01
1581,39078,2014,39,6,39078/2014-01-01
54196,39087,2014,39,6,39087/2014-01-01
327,39101,2014,39,6,39101/2014-01-01
805,39096,2014,39,6,39096/2014-01-01
1062,39100,2014,39,6,39100/2014-01-01
2751,39102,2014,39,6,39102/2014-01-01
327,39003,2014,39,6,39003/2014-01-01
2107,39006,2014,39,6,39006/2014-01-01
18282,39008,2014,39,6,39008/2014-01-01
735,39010,2014,39,6,39010/2014-01-01
8369,39012,2014,39,6,39012/2014-01-01
1001,39015,2014,39,6,39015/2014-01-01
2659,39019,2014,39,6,39019/2014-01-01
576,39021,2014,39,6,39021/2014-01-01
11230,39025,2014,39,6,39025/2014-01-01
4914,39028,2014,39,6,39028/2014-01-01
1250,39036,2014,39,6,39036/2014-01-01
2370,39037,2014,39,6,39037/2014-01-01
1837,39038,2014,39,6,39038/2014-01-01
417,39045,2014,39,6,39045/2014-01-01
2551,39047,2014,39,6,39047/2014-01-01
357,39049,2014,39,6,39049/2014-01-01
74,39051,2014,39,6,39051/2014-01-01
23999,39052,2014,39,6,39052/2014-01-01
1421,39055,2014,39,6,39055/2014-01-01
9804,39059,2014,39,6,39059/2014-01-01
1053,39063,2014,39,6,39063/2014-01-01
11222,39079,2014,39,6,39079/2014-01-01
2299,39091,2014,39,6,39091/2014-01-01
321,39093,2014,39,6,39093/2014-01-01
1701,39098,2014,39,6,39098/2014-01-01
4228,39002,2014,39,6,39002/2014-01-01
2016,39011,2014,39,6,39011/2014-01-01
1016,39014,2014,39,6,39014/2014-01-01
31007,39016,2014,39,6,39016/2014-01-01
5687,39018,2014,39,6,39018/2014-01-01
2383,39030,2014,39,6,39030/2014-01-01
5223,39040,2014,39,6,39040/2014-01-01
2131,39041,2014,39,6,39041/2014-01-01
8328,39060,2014,39,6,39060/2014-01-01
281,39065,2014,39,6,39065/2014-01-01
477,39071,2014,39,6,39071/2014-01-01
393,39072,2014,39,6,39072/2014-01-01
9097,39074,2014,39,6,39074/2014-01-01
285,39077,2014,39,6,39077/2014-01-01
1990,39082,2014,39,6,39082/2014-01-01
1280,39083,2014,39,6,39083/2014-01-01
1002,39084,2014,39,6,39084/2014-01-01
422,39086,2014,39,6,39086/2014-01-01
2823,39095,2014,39,6,39095/2014-01-01
1055,39092,2014,39,6,39092/2014-01-01
1010,39094,2014,39,6,39094/2014-01-01
801,39097,2014,39,6,39097/2014-01-01
3808,39099,2014,39,6,39099/2014-01-01
1775,39004,2014,39,6,39004/2014-01-01
628,39013,2014,39,6,39013/2014-01-01
294,39034,2014,39,6,39034/2014-01-01
1997,39048,2014,39,6,39048/2014-01-01
5633,39054,2014,39,6,39054/2014-01-01
2851,39056,2014,39,6,39056/2014-01-01
2820,39057,2014,39,6,39057/2014-01-01
932,39067,2014,39,6,39067/2014-01-01
174,39070,2014,39,6,39070/2014-01-01
4314,39080,2014,39,6,39080/2014-01-01
175736,39075,2014,39,6,39075/2014-01-01
4197,39076,2014,39,6,39076/2014-01-01
69,39088,2014,39,6,39088/2014-01-01
148,39089,2014,39,6,39089/2014-01-01
885,39090,2014,39,6,39090/2014-01-01
